Fecha,Sesiones,Montos
19/07/2015,185594,16489877.14
20/07/2015,305670,32892163.35
21/07/2015,331475,39937005.12
22/07/2015,349645,37757176.96
23/07/2015,320034,31838096.65
24/07/2015,269315,28516306.87
25/07/2015,182022,18912067.2
26/07/2015,176260,12115910.14
27/07/2015,317802,31581177.08
28/07/2015,314696,38722711.72
29/07/2015,308484,35813844.67
30/07/2015,286977,29220544.55
31/07/2015,249602,25761327.53
01/08/2015,174153,17680624.55
02/08/2015,182696,12718149.57
03/08/2015,298767,30559118.2
04/08/2015,298568,37028475.95
05/08/2015,302908,37084430.54
06/08/2015,275181,29882357.78
07/08/2015,238419,25241307.24
08/08/2015,162195,16618462.99
09/08/2015,163179,13213011.29
10/08/2015,292328,26929485.4
11/08/2015,294234,30945525.38
12/08/2015,293345,28032135.48
13/08/2015,239620,19671558.59
14/08/2015,230695,18266296.69
15/08/2015,154843,14401280.97
16/08/2015,157457,11990489.94
17/08/2015,260489,24420410.04
18/08/2015,286420,28870408.88
19/08/2015,276809,29148624.84
20/08/2015,304935,29809906.79
21/08/2015,248863,22663514.67
22/08/2015,159405,13828450.08
23/08/2015,156600,12983758.37
24/08/2015,266244,24842532.18
25/08/2015,290851,29225294.59
26/08/2015,286820,30790793.85
27/08/2015,265511,25947616.94
28/08/2015,252778,20801794.49
29/08/2015,157612,12788540.77
30/08/2015,157695,12906666.09
31/08/2015,261959,24029751.24
01/09/2015,294920,29679499.61
02/09/2015,293701,29945248.33
03/09/2015,288614,28023501.19
04/09/2015,229108,23066609.85
05/09/2015,151000,15212803.72
06/09/2015,147622,13010349.02
07/09/2015,256751,24878043.24
08/09/2015,287270,31775422.97
09/09/2015,279445,29476937.97
10/09/2015,251372,25310196.74
11/09/2015,222528,21364544.74
12/09/2015,151697,14574314.63
13/09/2015,149238,12953087.11
14/09/2015,239756,23703868.77
15/09/2015,222688,27405731.26
16/09/2015,189251,25046744.85
17/09/2015,273144,28084359.86
18/09/2015,237985,26277241.02
19/09/2015,151260,15870176.86
